movie,year,production_budget,gross_revenue,month,profit,release_date,genre_list,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Iron Man 2,2010,170000000,621156389,5,451156389,2010-05-07,"['Adventure', 'Action', 'Science Fiction']","Adventure,Action,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Captain America: The Winter Soldier,2014,170000000,714401889,4,544401889,2014-04-04,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dawn of the Planet of the Apes,2014,170000000,710644566,7,540644566,2014-07-11,"['Science Fiction', 'Action', 'Drama', 'Thriller']","Science Fiction,Action,Drama,Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Snow White and the Huntsman,2012,170000000,401021746,6,231021746,2012-06-01,"['Adventure', 'Fantasy', 'Drama']","Adventure,Fantasy,Drama",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Tomorrowland,2015,170000000,206627518,5,36627518,2015-05-22,"['Adventure', 'Family', 'Mystery', 'Science Fiction']","Adventure,Family,Mystery,Science Fiction",0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Alice Through the Looking Glass,2016,170000000,276928112,5,106928112,2016-05-27,"['Adventure', 'Family', 'Fantasy']","Adventure,Family,Fantasy",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Shrek Forever After,2010,165000000,756244673,5,591244673,2010-05-16,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']","Comedy,Adventure,Fantasy,Animation,Family",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Doctor Strange,2016,165000000,676404566,11,511404566,2016-11-04,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Doctor Strange,2016,165000000,676404566,11,511404566,2016-11-04,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Action,Adventure,Fantasy,Science Fiction",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Big Hero 6,2014,165000000,652127828,11,487127828,2014-11-07,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']","Adventure,Family,Animation,Action,Comedy",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Big Hero 6,2014,165000000,652127828,11,487127828,2014-11-07,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']","Adventure,Family,Animation,Action,Comedy",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
How to Train Your Dragon,2010,165000000,494870992,3,329870992,2010-03-26,"['Fantasy', 'Adventure', 'Animation', 'Family']","Fantasy,Adventure,Animation,Family",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Wreck-It Ralph,2012,165000000,496511521,11,331511521,2012-11-02,"['Family', 'Animation', 'Comedy', 'Adventure']","Family,Animation,Comedy,Adventure",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Interstellar,2014,165000000,666379375,11,501379375,2014-11-05,"['Adventure', 'Drama', 'Science Fiction']","Adventure,Drama,Science Fiction",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Independence Day: Resurgence,2016,165000000,384169424,6,219169424,2016-06-24,"['Action', 'Adventure', 'Science Fiction']","Action,Adventure,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Beauty and the Beast,2017,160000000,1259199706,3,1099199706,2017-03-17,"['Family', 'Fantasy', 'Romance']","Family,Fantasy,Romance",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Aquaman,2018,160000000,1146894640,12,986894640,2018-12-21,"['Action', 'Adventure', 'Fantasy']","Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
